Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
12/11/2023,12/11/2023,12/13/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,10,$466.28,"($4,662.80)"
12/11/2023,12/11/2023,12/12/2023,AMD,AMD 12/15/2023 Put $125.00,STO,2,$0.21,$41.92
12/11/2023,12/11/2023,12/12/2023,SPCE,SPCE 12/22/2023 Call $3.00,STO,2,$0.02,$3.92
12/11/2023,12/11/2023,12/12/2023,SPCE,SPCE 12/22/2023 Call $3.00,STO,5,$0.02,$9.83
12/11/2023,12/11/2023,12/12/2023,SPCE,SPCE 12/22/2023 Call $3.00,STO,4,$0.02,$7.86
12/11/2023,12/11/2023,12/12/2023,SPCE,SPCE 12/22/2023 Call $3.00,STO,1,$0.02,$1.95
12/11/2023,12/11/2023,12/12/2023,SPCE,SPCE 12/22/2023 Call $3.00,STO,13,$0.02,$25.57
12/11/2023,12/11/2023,12/12/2023,SPCE,SPCE 12/22/2023 Call $3.00,STO,4,$0.02,$7.86
12/11/2023,12/11/2023,12/12/2023,SPCE,SPCE 12/22/2023 Call $3.00,STO,1,$0.02,$1.95
12/11/2023,12/11/2023,12/12/2023,MRVL,MRVL 12/15/2023 Put $52.50,STO,1,$0.65,$64.95
12/11/2023,12/11/2023,12/12/2023,MRVL,MRVL 12/15/2023 Put $52.50,STO,2,$0.65,$129.92
12/11/2023,12/11/2023,12/11/2023,,Gold Subscription Fee,GOLD,,,($5.00)
12/8/2023,12/8/2023,12/11/2023,MRVL,MRVL 12/8/2023 Call $52.00,OASGN,3,,
12/8/2023,12/8/2023,12/11/2023,MRVL,Option Expiration for MRVL 12/8/2023 Put $50.00,OEXP,1,,
12/8/2023,12/8/2023,12/12/2023,MRVL,"Marvell Technology
CUSIP: 573874104
3 MRVL Options Assigned",Sell,300,$52.00,"$15,599.83"
12/8/2023,12/8/2023,12/11/2023,AMD,AMD 12/8/2023 Call $111.00,OASGN,3,,
12/8/2023,12/8/2023,12/12/2023,AMD,"AMD
CUSIP: 007903107
3 AMD Options Assigned",Sell,300,$111.00,"$33,299.69"
12/6/2023,12/6/2023,12/8/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,5,$453.85,"($2,269.25)"
12/5/2023,12/5/2023,12/6/2023,MRVL,MRVL 12/8/2023 Put $50.00,STO,1,$0.42,$41.95
12/4/2023,12/4/2023,12/4/2023,PFE,Cash Div: R/D 2023-11-10 P/D 2023-12-04 - 0.996808 shares at 0.41,CDIV,,,$0.41
12/4/2023,12/4/2023,12/6/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,3,$451.42,"($1,354.26)"
12/4/2023,12/4/2023,12/5/2023,,ACH Deposit,ACH,,,"$1,500.00"
12/1/2023,12/1/2023,12/4/2023,NEE,Option Expiration for NEE 12/1/2023 Put $57.00,OEXP,1,,
12/1/2023,12/1/2023,12/4/2023,SPCE,Option Expiration for SPCE 12/1/2023 Call $2.50,OEXP,30,,
12/1/2023,12/1/2023,12/5/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,2,$467.54,($935.08)
12/1/2023,12/1/2023,12/4/2023,MRVL,MRVL 12/1/2023 Call $50.00,BTC,2,$2.78,($556.06)
12/1/2023,12/1/2023,12/4/2023,MRVL,MRVL 12/1/2023 Call $50.00,BTC,1,$2.78,($278.03)
12/1/2023,12/1/2023,12/4/2023,MRVL,MRVL 12/8/2023 Call $52.00,STO,2,$1.46,$291.92
12/1/2023,12/1/2023,12/4/2023,MRVL,MRVL 12/8/2023 Call $52.00,STO,1,$1.46,$145.95
11/30/2023,11/30/2023,11/30/2023,,Interest Payment,INT,,,$10.40
11/29/2023,11/29/2023,11/29/2023,SIRI,Cash Div: R/D 2023-11-07 P/D 2023-11-29 - 3.032986 shares at 0.0266,CDIV,,,$0.08
11/29/2023,11/29/2023,11/30/2023,SPCE,SPCE 12/1/2023 Call $2.50,STO,30,$0.01,$29.02
11/27/2023,11/27/2023,11/28/2023,NEE,NEE 12/1/2023 Put $57.00,STO,1,$0.40,$39.95
11/24/2023,11/24/2023,11/27/2023,SPCE,Option Expiration for SPCE 11/24/2023 Call $3.00,OEXP,7,,
11/17/2023,11/17/2023,11/20/2023,SPCE,SPCE 11/24/2023 Call $3.00,STO,5,$0.01,$4.83
11/17/2023,11/17/2023,11/20/2023,SPCE,SPCE 11/24/2023 Call $3.00,STO,2,$0.01,$1.92
11/17/2023,11/17/2023,11/20/2023,AMD,AMD 12/8/2023 Call $111.00,STO,1,$11.58,"$1,157.95"
11/17/2023,11/17/2023,11/20/2023,AMD,AMD 12/8/2023 Call $111.00,STO,1,$11.58,"$1,157.95"
11/17/2023,11/17/2023,11/20/2023,AMD,AMD 11/17/2023 Call $110.00,BTC,1,$10.92,"($1,092.03)"
11/17/2023,11/17/2023,11/20/2023,AMD,AMD 11/17/2023 Call $110.00,BTC,1,$10.92,"($1,092.03)"
11/17/2023,11/17/2023,11/20/2023,AMD,AMD 11/17/2023 Call $110.00,BTC,1,$10.92,"($1,092.03)"
11/17/2023,11/17/2023,11/20/2023,AMD,AMD 12/8/2023 Call $111.00,STO,1,$11.58,"$1,157.95"
11/17/2023,11/17/2023,11/17/2023,,Aggregated Margin Rate,MINT,,,($7.61)
11/16/2023,11/16/2023,11/16/2023,AAPL,Cash Div: R/D 2023-11-13 P/D 2023-11-16 - 12.114505 shares at 0.24,CDIV,,,$2.91
11/16/2023,11/16/2023,11/17/2023,MRVL,MRVL 12/1/2023 Call $50.00,STO,1,$5.77,$576.95
11/16/2023,11/16/2023,11/17/2023,MRVL,MRVL 12/1/2023 Call $50.00,STO,1,$5.76,$575.95
11/16/2023,11/16/2023,11/17/2023,MRVL,MRVL 12/1/2023 Call $50.00,STO,1,$5.76,$575.95
11/16/2023,11/16/2023,11/17/2023,MRVL,MRVL 11/17/2023 Call $49.50,BTC,1,$5.26,($526.03)
11/16/2023,11/16/2023,11/17/2023,MRVL,MRVL 11/17/2023 Call $49.50,BTC,1,$5.25,($525.03)
11/16/2023,11/16/2023,11/17/2023,MRVL,MRVL 11/17/2023 Call $49.50,BTC,1,$5.25,($525.03)
11/15/2023,11/15/2023,11/16/2023,,ACH Deposit,ACH,,,"$3,200.00"
11/10/2023,11/10/2023,11/13/2023,SPCE,Option Expiration for SPCE 11/10/2023 Call $2.00,OEXP,30,,
11/10/2023,11/10/2023,11/10/2023,,Gold Subscription Fee,GOLD,,,($5.00)
11/3/2023,11/3/2023,11/6/2023,AMD,AMD 11/17/2023 Call $110.00,STO,3,$5.12,"$1,535.88"
11/3/2023,11/3/2023,11/6/2023,AMD,AMD 11/3/2023 Call $108.00,BTC,3,$4.97,"($1,491.09)"
11/3/2023,11/3/2023,11/6/2023,MRVL,MRVL 11/3/2023 Call $49.00,BTC,1,$2.73,($273.03)
11/3/2023,11/3/2023,11/6/2023,MRVL,MRVL 11/3/2023 Call $49.00,BTC,2,$2.73,($546.06)
11/3/2023,11/3/2023,11/6/2023,MRVL,MRVL 11/17/2023 Call $49.50,STO,1,$2.99,$298.95
11/3/2023,11/3/2023,11/6/2023,MRVL,MRVL 11/17/2023 Call $49.50,STO,2,$2.99,$597.92
11/2/2023,11/2/2023,11/3/2023,SPCE,SPCE 11/10/2023 Call $2.00,STO,2,$0.02,$3.92
11/2/2023,11/2/2023,11/3/2023,SPCE,SPCE 11/10/2023 Call $2.00,STO,1,$0.02,$1.95
11/2/2023,11/2/2023,11/3/2023,SPCE,SPCE 11/10/2023 Call $2.00,STO,13,$0.02,$25.57
11/2/2023,11/2/2023,11/3/2023,SPCE,SPCE 11/10/2023 Call $2.00,STO,14,$0.02,$27.54
10/31/2023,10/31/2023,10/31/2023,,Interest Payment,INT,,,$5.21
10/31/2023,10/31/2023,11/1/2023,MRVL,MRVL 11/3/2023 Call $49.00,STO,3,$0.16,$47.89
10/30/2023,10/30/2023,10/31/2023,AMD,AMD 11/3/2023 Call $108.00,STO,3,$0.46,$137.89
10/27/2023,10/27/2023,10/30/2023,AMD,Option Expiration for AMD 10/27/2023 Call $109.00,OEXP,3,,
10/27/2023,10/27/2023,10/30/2023,MRVL,Option Expiration for MRVL 10/27/2023 Call $53.00,OEXP,3,,
10/27/2023,10/27/2023,10/31/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,4,$404.78,"($1,619.12)"
10/27/2023,10/27/2023,10/31/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$404.80,($404.80)
10/27/2023,10/27/2023,10/31/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,2,$404.75,($809.50)
10/27/2023,10/27/2023,10/31/2023,INTC,"Intel
CUSIP: 458140100",Sell,300,$35.53,"$10,659.02"
10/27/2023,10/27/2023,10/30/2023,INTC,INTC 11/3/2023 Call $36.00,BTC,3,$0.54,($162.09)
10/27/2023,10/27/2023,10/30/2023,INTC,INTC 10/27/2023 Call $35.50,BTC,3,$0.27,($81.09)
10/27/2023,10/27/2023,10/30/2023,INTC,INTC 11/3/2023 Call $36.00,STO,3,$0.61,$182.89
10/26/2023,10/26/2023,10/30/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,2,$406.74,($813.49)
10/25/2023,10/25/2023,10/25/2023,MRVL,Cash Div: R/D 2023-10-06 P/D 2023-10-25 - 300 shares at 0.06,CDIV,,,$18.00
10/25/2023,10/25/2023,10/25/2023,CSCO,Cash Div: R/D 2023-10-04 P/D 2023-10-25 - 1.041383 shares at 0.39,CDIV,,,$0.41
10/25/2023,10/25/2023,10/27/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$418.66,($418.66)
10/23/2023,10/23/2023,10/24/2023,MRVL,MRVL 10/27/2023 Call $53.00,STO,3,$0.08,$23.98
10/23/2023,10/23/2023,10/24/2023,AMD,AMD 10/27/2023 Call $109.00,STO,1,$0.21,$20.98
10/23/2023,10/23/2023,10/24/2023,AMD,AMD 10/27/2023 Call $109.00,STO,2,$0.21,$41.98
10/23/2023,10/23/2023,10/24/2023,INTC,INTC 10/27/2023 Call $35.50,STO,3,$0.91,$272.98
10/20/2023,10/20/2023,10/23/2023,MRVL,Option Expiration for MRVL 10/20/2023 Call $56.00,OEXP,3,,
10/20/2023,10/20/2023,10/23/2023,AMD,Option Expiration for AMD 10/20/2023 Call $111.00,OEXP,3,,
10/20/2023,10/20/2023,10/23/2023,SPCE,Option Expiration for SPCE 10/20/2023 Call $2.00,OEXP,30,,
10/20/2023,10/20/2023,10/23/2023,INTC,INTC 10/20/2023 Put $35.00,OASGN,3,,
10/20/2023,10/20/2023,10/24/2023,INTC,"Intel
CUSIP: 458140100
3 INTC Options Assigned",Buy,300,$35.00,"($10,500.00)"
10/20/2023,10/20/2023,10/24/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,2,$417.69,($835.38)
10/19/2023,10/19/2023,10/23/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$419.80,($419.80)
10/18/2023,10/18/2023,10/19/2023,,ACH Deposit,ACH,,,"$3,000.00"
10/17/2023,10/17/2023,10/19/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,2,$441.06,($882.11)
10/17/2023,10/17/2023,10/18/2023,INTC,INTC 10/20/2023 Put $35.00,STO,1,$0.13,$12.98
10/17/2023,10/17/2023,10/18/2023,INTC,INTC 10/20/2023 Put $35.00,STO,1,$0.13,$12.98
10/17/2023,10/17/2023,10/18/2023,INTC,INTC 10/20/2023 Put $35.00,STO,1,$0.13,$12.98
10/16/2023,10/16/2023,10/17/2023,SPCE,SPCE 10/20/2023 Call $2.00,STO,11,$0.01,$10.96
10/16/2023,10/16/2023,10/17/2023,SPCE,SPCE 10/20/2023 Call $2.00,STO,4,$0.01,$3.98
10/16/2023,10/16/2023,10/17/2023,SPCE,SPCE 10/20/2023 Call $2.00,STO,2,$0.01,$1.98
10/16/2023,10/16/2023,10/17/2023,SPCE,SPCE 10/20/2023 Call $2.00,STO,2,$0.01,$1.98
10/16/2023,10/16/2023,10/17/2023,SPCE,SPCE 10/20/2023 Call $2.00,STO,11,$0.01,$10.96
10/16/2023,10/16/2023,10/17/2023,MRVL,MRVL 10/20/2023 Call $56.00,STO,3,$0.15,$44.98
10/16/2023,10/16/2023,10/17/2023,AMD,AMD 10/20/2023 Call $111.00,STO,3,$0.64,$191.98
10/13/2023,10/13/2023,10/16/2023,AMD,Option Expiration for AMD 10/13/2023 Call $111.00,OEXP,3,,
10/13/2023,10/13/2023,10/16/2023,MRVL,Option Expiration for MRVL 10/13/2023 Call $57.00,OEXP,3,,
10/13/2023,10/13/2023,10/16/2023,SPCE,Option Expiration for SPCE 10/13/2023 Call $2.00,OEXP,30,,
10/13/2023,10/13/2023,10/13/2023,ATVI,"Activision Blizzard
CUSIP: 00507V109",MRGS,1.0107S,,
10/13/2023,10/13/2023,10/13/2023,ATVI,Cash received thru Merger 1.010697 shares at $95,MRGC,,,$96.02
10/11/2023,10/11/2023,10/11/2023,,Gold Subscription Fee,GOLD,,,($5.00)
10/10/2023,10/10/2023,10/11/2023,SPCE,SPCE 10/13/2023 Call $2.00,STO,17,$0.01,$16.95
10/10/2023,10/10/2023,10/11/2023,SPCE,SPCE 10/13/2023 Call $2.00,STO,13,$0.01,$12.96
10/9/2023,10/9/2023,10/11/2023,,ACH Withdrawal,ACH,,,($500.00)
10/9/2023,10/9/2023,10/10/2023,MRVL,MRVL 10/13/2023 Call $57.00,STO,2,$0.17,$33.98
10/9/2023,10/9/2023,10/10/2023,MRVL,MRVL 10/13/2023 Call $57.00,STO,1,$0.17,$16.98
10/6/2023,10/6/2023,10/9/2023,MRVL,Option Expiration for MRVL 10/6/2023 Call $58.00,OEXP,3,,
10/6/2023,10/6/2023,10/9/2023,INTC,Option Expiration for INTC 10/6/2023 Put $34.00,OEXP,3,,
10/6/2023,10/6/2023,10/9/2023,SPCE,Option Expiration for SPCE 10/6/2023 Call $2.00,OEXP,30,,
10/6/2023,10/6/2023,10/10/2023,AMD,AMD 10/13/2023 Call $111.00,STO,3,$0.95,$284.98
10/6/2023,10/6/2023,10/10/2023,AMD,AMD 10/6/2023 Call $108.00,BTC,3,$0.04,($12.00)
10/2/2023,10/2/2023,10/3/2023,INTC,INTC 10/6/2023 Put $34.00,STO,3,$0.15,$44.98
10/2/2023,10/2/2023,10/3/2023,SPCE,SPCE 10/6/2023 Call $2.00,STO,30,$0.02,$59.92
9/29/2023,9/29/2023,10/2/2023,INTC,Option Expiration for INTC 9/29/2023 Put $33.50,OEXP,1,,
9/29/2023,9/29/2023,10/2/2023,SPCE,Option Expiration for SPCE 9/29/2023 Call $2.00,OEXP,30,,
9/29/2023,9/29/2023,9/29/2023,,Interest Payment,INT,,,$6.65
9/29/2023,9/29/2023,10/3/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,5,$437.21,"($2,186.05)"
9/29/2023,9/29/2023,10/2/2023,AMD,AMD 9/29/2023 Put $97.00,BTC,1,$0.01,($1.00)
9/29/2023,9/29/2023,10/2/2023,MRVL,MRVL 10/6/2023 Call $58.00,STO,2,$0.12,$23.98
9/29/2023,9/29/2023,10/2/2023,MRVL,MRVL 10/6/2023 Call $58.00,STO,1,$0.12,$11.98
9/29/2023,9/29/2023,10/2/2023,AMD,AMD 10/6/2023 Call $108.00,STO,3,$0.73,$218.98
9/29/2023,9/29/2023,10/2/2023,AMD,AMD 9/29/2023 Call $105.00,BTC,3,$0.10,($30.00)
9/28/2023,9/28/2023,9/28/2023,NVDA,Cash Div: R/D 2023-09-07 P/D 2023-09-28 - 28.038072 shares at 0.04,CDIV,,,$1.12
9/25/2023,9/25/2023,9/26/2023,AMD,AMD 9/29/2023 Call $105.00,STO,3,$0.11,$32.98
9/25/2023,9/25/2023,9/26/2023,SPCE,SPCE 9/29/2023 Call $2.00,STO,3,$0.01,$2.98
9/25/2023,9/25/2023,9/26/2023,SPCE,SPCE 9/29/2023 Call $2.00,STO,1,$0.01,$0.98
9/25/2023,9/25/2023,9/26/2023,SPCE,SPCE 9/29/2023 Call $2.00,STO,9,$0.01,$8.97
9/25/2023,9/25/2023,9/26/2023,SPCE,SPCE 9/29/2023 Call $2.00,STO,1,$0.01,$0.98
9/25/2023,9/25/2023,9/26/2023,SPCE,SPCE 9/29/2023 Call $2.00,STO,13,$0.01,$12.96
9/25/2023,9/25/2023,9/26/2023,SPCE,SPCE 9/29/2023 Call $2.00,STO,1,$0.01,$0.98
9/25/2023,9/25/2023,9/26/2023,SPCE,SPCE 9/29/2023 Call $2.00,STO,2,$0.01,$1.98
9/25/2023,9/25/2023,9/26/2023,INTC,INTC 9/29/2023 Put $33.50,STO,1,$0.31,$30.98
9/22/2023,9/22/2023,9/25/2023,MRVL,Option Expiration for MRVL 9/22/2023 Call $56.00,OEXP,3,,
9/22/2023,9/22/2023,9/25/2023,AMD,Option Expiration for AMD 9/22/2023 Call $109.00,OEXP,3,,
9/22/2023,9/22/2023,9/25/2023,AMD,AMD 9/29/2023 Put $97.00,STO,1,$1.79,$178.98
9/22/2023,9/22/2023,9/25/2023,AMD,AMD 9/22/2023 Put $98.00,BTC,1,$0.55,($55.00)
9/20/2023,9/20/2023,9/21/2023,,ACH Deposit,ACH,,,"$5,000.00"
9/20/2023,9/20/2023,9/21/2023,MRVL,MRVL 9/22/2023 Call $56.00,STO,3,$0.12,$35.98
9/20/2023,9/20/2023,9/21/2023,AMD,AMD 9/22/2023 Call $109.00,STO,3,$0.08,$23.98
9/18/2023,9/18/2023,9/20/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1.961928,$427.01,($837.76)
9/15/2023,9/15/2023,9/18/2023,MRVL,Option Expiration for MRVL 9/15/2023 Call $61.00,OEXP,3,,
9/15/2023,9/15/2023,9/18/2023,AMD,Option Expiration for AMD 9/15/2023 Call $111.00,OEXP,3,,
9/15/2023,9/15/2023,9/18/2023,AMD,AMD 9/15/2023 Put $101.00,BTC,1,$0.01,($1.00)
9/15/2023,9/15/2023,9/18/2023,AMD,AMD 9/22/2023 Put $98.00,STO,1,$0.72,$71.98
9/14/2023,9/14/2023,9/14/2023,MSFT,Cash Div: R/D 2023-08-17 P/D 2023-09-14 - 7.071625 shares at 0.68,CDIV,,,$4.81
9/12/2023,9/12/2023,9/13/2023,AMD,AMD 9/15/2023 Call $111.00,STO,3,$0.31,$92.98
9/11/2023,9/11/2023,9/12/2023,AMD,AMD 9/15/2023 Put $101.00,STO,1,$0.71,$70.98
9/11/2023,9/11/2023,9/11/2023,,Gold Subscription Fee,GOLD,,,($5.00)
9/8/2023,9/8/2023,9/11/2023,AMD,Option Expiration for AMD 9/8/2023 Call $116.00,OEXP,1,,
9/8/2023,9/8/2023,9/11/2023,AMD,AMD 9/8/2023 Put $108.00,OASGN,2,,
9/8/2023,9/8/2023,9/12/2023,AMD,"AMD
CUSIP: 007903107
2 AMD Options Assigned",Buy,200,$108.00,"($21,600.00)"
9/8/2023,9/8/2023,9/11/2023,SPCE,SPCE 9/8/2023 Put $3.00,OASGN,19,,
9/8/2023,9/8/2023,9/12/2023,SPCE,"Virgin Galactic Holdings
CUSIP: 92766K106
19 SPCE Options Assigned",Buy,1900,$3.00,"($5,700.00)"
9/7/2023,9/7/2023,9/8/2023,SPCE,SPCE 9/8/2023 Put $3.00,OASGN,1,,
9/7/2023,9/7/2023,9/11/2023,SPCE,"Virgin Galactic Holdings
CUSIP: 92766K106
1 SPCE Option Assigned",Buy,100,$3.00,($300.00)
9/7/2023,9/7/2023,9/8/2023,MRVL,MRVL 9/15/2023 Call $61.00,STO,3,$0.14,$41.98
9/6/2023,9/6/2023,9/7/2023,MRVL,MRVL 9/8/2023 Put $60.00,OASGN,3,,
9/6/2023,9/6/2023,9/8/2023,MRVL,"Marvell Technology
CUSIP: 573874104
3 MRVL Options Assigned",Buy,300,$60.00,"($18,000.00)"
9/5/2023,9/5/2023,9/5/2023,PFE,Cash Div: R/D 2023-07-28 P/D 2023-09-05 - 0.996808 shares at 0.41,CDIV,,,$0.41
9/5/2023,9/5/2023,9/6/2023,AMD,AMD 9/8/2023 Call $116.00,STO,1,$0.34,$33.98
9/1/2023,9/1/2023,9/5/2023,INTC,Option Expiration for INTC 9/1/2023 Put $33.00,OEXP,3,,
9/1/2023,9/1/2023,9/5/2023,AMD,AMD 9/8/2023 Put $108.00,STO,2,$1.33,$265.98
9/1/2023,9/1/2023,9/5/2023,AMD,AMD 9/1/2023 Put $108.00,BTC,2,$0.04,($8.00)
8/31/2023,8/31/2023,8/31/2023,,Interest Payment,INT,,,$4.52
8/31/2023,8/31/2023,9/1/2023,,ACH Deposit,ACH,,,"$1,200.00"
8/30/2023,8/30/2023,8/30/2023,SIRI,Cash Div: R/D 2023-08-08 P/D 2023-08-30 - 3.032986 shares at 0.0242,CDIV,,,$0.07
8/30/2023,8/30/2023,8/31/2023,AMD,AMD 9/1/2023 Put $108.00,STO,2,$2.02,$403.98
8/30/2023,8/30/2023,8/31/2023,AMD,AMD 9/8/2023 Put $106.00,BTC,2,$2.03,($406.00)
8/28/2023,8/28/2023,8/29/2023,INTC,INTC 9/1/2023 Put $33.00,STO,3,$0.25,$74.98
8/25/2023,8/25/2023,8/28/2023,INTC,Option Expiration for INTC 8/25/2023 Put $31.50,OEXP,3,,
8/25/2023,8/25/2023,8/28/2023,MRVL,MRVL 8/25/2023 Put $60.00,BTC,3,$5.92,"($1,776.00)"
8/25/2023,8/25/2023,8/28/2023,MRVL,MRVL 9/8/2023 Put $60.00,STO,3,$6.00,"$1,799.97"
8/25/2023,8/25/2023,8/28/2023,SPCE,SPCE 8/25/2023 Put $3.00,BTC,1,$0.45,($45.00)
8/25/2023,8/25/2023,8/28/2023,SPCE,SPCE 8/25/2023 Put $3.00,BTC,1,$0.44,($44.00)
8/25/2023,8/25/2023,8/28/2023,SPCE,SPCE 8/25/2023 Put $3.00,BTC,1,$0.44,($44.00)
8/25/2023,8/25/2023,8/28/2023,SPCE,SPCE 9/8/2023 Put $3.00,STO,1,$0.45,$44.98
8/25/2023,8/25/2023,8/28/2023,SPCE,SPCE 9/8/2023 Put $3.00,STO,1,$0.46,$45.98
8/25/2023,8/25/2023,8/28/2023,SPCE,SPCE 9/8/2023 Put $3.00,STO,1,$0.45,$44.98
8/25/2023,8/25/2023,8/28/2023,SPCE,SPCE 8/25/2023 Put $3.00,BTC,17,$0.45,($765.00)
8/25/2023,8/25/2023,8/28/2023,SPCE,SPCE 9/8/2023 Put $3.00,STO,17,$0.46,$781.95
8/25/2023,8/25/2023,8/28/2023,AMD,AMD 8/25/2023 Put $107.00,BTC,2,$4.68,($936.00)
8/25/2023,8/25/2023,8/28/2023,AMD,AMD 9/8/2023 Put $106.00,STO,2,$5.35,"$1,069.98"
8/21/2023,8/21/2023,8/22/2023,INTC,INTC 8/25/2023 Put $31.50,STO,3,$0.27,$80.98
8/21/2023,8/21/2023,8/22/2023,,ACH Deposit,ACH,,,"$1,200.00"
8/18/2023,8/18/2023,8/21/2023,AMD,AMD 8/25/2023 Put $107.00,STO,2,$4.14,$827.98
8/18/2023,8/18/2023,8/21/2023,AMD,AMD 8/18/2023 Put $108.00,BTC,2,$3.16,($632.00)
8/18/2023,8/18/2023,8/21/2023,SPCE,SPCE 8/18/2023 Put $3.00,BTC,20,$0.16,($320.00)
8/18/2023,8/18/2023,8/21/2023,SPCE,SPCE 8/25/2023 Put $3.00,STO,20,$0.22,$439.94
8/17/2023,8/17/2023,8/17/2023,ATVI,Cash Div: R/D 2023-08-02 P/D 2023-08-17 - 1.010697 shares at 0.99,CDIV,,,$1.00
8/17/2023,8/17/2023,8/17/2023,AAPL,Cash Div: R/D 2023-08-14 P/D 2023-08-17 - 12.114505 shares at 0.24,CDIV,,,$2.91
8/16/2023,8/16/2023,8/17/2023,,ACH Deposit,ACH,,,"$2,000.00"
8/14/2023,8/14/2023,8/15/2023,SPCE,SPCE 8/18/2023 Put $3.00,STO,7,$0.04,$27.97
8/14/2023,8/14/2023,8/15/2023,SPCE,SPCE 8/18/2023 Put $3.00,STO,7,$0.04,$27.97
8/14/2023,8/14/2023,8/15/2023,SPCE,SPCE 8/18/2023 Put $3.00,STO,5,$0.04,$19.98
8/14/2023,8/14/2023,8/15/2023,SPCE,SPCE 8/18/2023 Put $3.00,STO,1,$0.04,$3.98
8/14/2023,8/14/2023,8/15/2023,AMD,AMD 8/18/2023 Put $108.00,STO,2,$1.28,$255.98
8/14/2023,8/14/2023,8/14/2023,,Gold Subscription Fee,GOLD,,,($5.00)
8/11/2023,8/11/2023,8/14/2023,NET,NET 8/11/2023 Call $56.00,OASGN,1,,
8/11/2023,8/11/2023,8/14/2023,AMD,Option Expiration for AMD 8/11/2023 Call $120.00,OEXP,1,,
8/11/2023,8/11/2023,8/15/2023,NET,"Cloudflare
CUSIP: 18915M107
1 NET Option Assigned",Sell,100,$56.00,"$5,599.94"
8/11/2023,8/11/2023,8/14/2023,INTC,Option Expiration for INTC 8/11/2023 Put $34.00,OEXP,5,,
8/11/2023,8/11/2023,8/14/2023,MRVL,MRVL 8/11/2023 Put $61.00,BTC,3,$3.89,"($1,167.00)"
